artist_input,spotify_artist_name,artist_id,id_album,nombre_album,tipo_album,release_year,release_year_norm,decada,url_album,album_image_url,discogs_match_status,discogs_match_score,discogs_genres_norm,discogs_styles_norm,discogs_tags_norm,tags_dominantes,tags_especificos,n_tags,n_tags_dominantes,n_tags_especificos,peso_tags_total,peso_tags_promedio,es_single,es_album,tags_vacios
BIGBANG,BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,2mD4TM1aCIjYkMdRTzTJoZ,BIGBANG WORLD TOUR 2015〜2016 [MADE] IN JAPAN,album,2016.0,0.5652,2010,https://open.spotify.com/album/2mD4TM1aCIjYkMdRTzTJoZ,https://i.scdn.co/image/ab67616d0000b2733327aac95ae583c0b66ae316,fuzzy,67.19,"['electronic', 'hip_hop', 'pop']","['j_pop', 'dance_pop', 'hip_hop', 'k_pop']","['electronic', 'hip_hop', 'pop', 'j_pop', 'dance_pop', 'k_pop']","['pop', 'k_pop']","['electronic', 'hip_hop', 'j_pop', 'dance_pop']",6,2,4,29.8209,4.9702,0,1,False
BIGBANG,BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,4ls7QOvWzu4OGaQQSiKeDE,MADE SERIES,album,2016.0,0.5652,2010,https://open.spotify.com/album/4ls7QOvWzu4OGaQQSiKeDE,https://i.scdn.co/image/ab67616d0000b2738c22c6d1dba584d35206a9f6,exact,100.0,"['electronic', 'hip_hop', 'pop']","['j_pop', 'dance_pop', 'hip_hop', 'k_pop']","['electronic', 'hip_hop', 'pop', 'j_pop', 'dance_pop', 'k_pop']","['pop', 'k_pop']","['electronic', 'hip_hop', 'j_pop', 'dance_pop']",6,2,4,29.8209,4.9702,0,1,False
BIGBANG,BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,56IQipLniHLUdWVZ0kl32s,BIGBANG JAPAN DOME TOUR 2013〜2014,album,2014.0,0.4783,2010,https://open.spotify.com/album/56IQipLniHLUdWVZ0kl32s,https://i.scdn.co/image/ab67616d0000b27345e36a892f70c2a71746ab48,fuzzy,70.7,"['hip_hop', 'pop', 'stage_&_screen']","['electro', 'pop_rap']","['hip_hop', 'pop', 'stage_&_screen', 'electro', 'pop_rap']",['pop'],"['hip_hop', 'stage_&_screen', 'electro', 'pop_rap']",5,1,4,157.9255,31.5851,0,1,False
BIGBANG,BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,2W66jOC3qqVZvLn9foXXbg,Remember,album,2008.0,0.2174,2000,https://open.spotify.com/album/2W66jOC3qqVZvLn9foXXbg,https://i.scdn.co/image/ab67616d0000b273a1fbc93f1f424d133e22cce8,exact,97.06,"['hip_hop', 'pop']","['pop_rap', 'k_pop']","['hip_hop', 'pop', 'pop_rap', 'k_pop']","['pop', 'k_pop']","['hip_hop', 'pop_rap']",4,2,2,21.2521,5.313,0,1,False
BIGBANG,BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,3iTETURuyuUJByvQOLoydV,BIGBANG Vol.1,album,2006.0,0.1304,2000,https://open.spotify.com/album/3iTETURuyuUJByvQOLoydV,https://i.scdn.co/image/ab67616d0000b273e03d007376ec65656c348205,exact,97.06,"['electronic', 'hip_hop', 'pop']","['pop_rap', 'k_pop']","['electronic', 'hip_hop', 'pop', 'pop_rap', 'k_pop']","['pop', 'k_pop']","['electronic', 'hip_hop', 'pop_rap']",5,2,3,26.1933,5.2387,0,1,False
BIGBANG,BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,2fpQB21ER6ETvnfADPdaHl,BIGBANG Special Edition,single,2011.0,0.3478,2010,https://open.spotify.com/album/2fpQB21ER6ETvnfADPdaHl,https://i.scdn.co/image/ab67616d0000b2739c5b430d50a981f5c9bbf6d2,exact,92.06,"['electronic', 'rock', 'pop']","['house', 'electro', 'hip_hop', 'ballad', 'k_pop']","['electronic', 'rock', 'pop', 'house', 'electro', 'hip_hop', 'ballad', 'k_pop']","['pop', 'k_pop']","['electronic', 'rock', 'house', 'electro', 'hip_hop', 'ballad']",8,2,6,200.651,25.0814,1,0,False
BIGBANG,BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,0NB6IIwQeRDzNFCU22LQto,Stand Up,single,2008.0,0.2174,2000,https://open.spotify.com/album/0NB6IIwQeRDzNFCU22LQto,https://i.scdn.co/image/ab67616d0000b273256b86508bfdc54899e4685e,exact,92.06,"['hip_hop', 'pop']","['pop_rap', 'k_pop']","['hip_hop', 'pop', 'pop_rap', 'k_pop']","['pop', 'k_pop']","['hip_hop', 'pop_rap']",4,2,2,21.2521,5.313,1,0,False
BIGBANG,BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,4T1fv3gIYifquPf9dRhJei,Always,single,2007.0,0.1739,2000,https://open.spotify.com/album/4T1fv3gIYifquPf9dRhJei,https://i.scdn.co/image/ab67616d0000b2734efa3bb95411ca959771dfb0,exact,92.06,"['electronic', 'hip_hop', 'pop']","['pop_rap', 'k_pop']","['electronic', 'hip_hop', 'pop', 'pop_rap', 'k_pop']","['pop', 'k_pop']","['electronic', 'hip_hop', 'pop_rap']",5,2,3,26.1933,5.2387,1,0,False
BIGBANG,BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,0UewBgAMHugPdwS4Utk8SH,Bigbang 03,single,2006.0,0.1304,2000,https://open.spotify.com/album/0UewBgAMHugPdwS4Utk8SH,https://i.scdn.co/image/ab67616d0000b273ab00b0906c3fa09dc33c91fb,exact,97.06,"['hip_hop', 'pop']","['pop_rap', 'k_pop']","['hip_hop', 'pop', 'pop_rap', 'k_pop']","['pop', 'k_pop']","['hip_hop', 'pop_rap']",4,2,2,21.2521,5.313,1,0,False
BIGBANG,BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,29dyjY5NipwZnTJcemohb1,BigBang Is V.I.P,single,2006.0,0.1304,2000,https://open.spotify.com/album/29dyjY5NipwZnTJcemohb1,https://i.scdn.co/image/ab67616d0000b273fdc981395ea990ca523480d6,exact,92.06,"['hip_hop', 'pop']","['pop_rap', 'k_pop']","['hip_hop', 'pop', 'pop_rap', 'k_pop']","['pop', 'k_pop']","['hip_hop', 'pop_rap']",4,2,2,21.2521,5.313,1,0,False
